Customer_ID,Age,Gender,Country,Purchase_Amount,Purchase_Date,Product_Category,Satisfaction_Score,Churn
8270,36,F,UK,-391.68,2020-03-30 00:00:00,Beauty,10,No
1860,51,Female,Canada,-134.6,2021-08-13 00:00:00,Clothing,5,Yes
6390,42,Female,,4765.07,2020-02-24 00:00:00,Home,5,1
6191,48,Male,Ind,1403.43,2023-05-29 00:00:00,Electronics,4,0
6734,-1,,UK,4274.42,2020-04-01 00:00:00,Home,4,Yes
7265,58,Female,Germany,4778.22,2024-05-28 00:00:00,Sports,1,
1466,34,Female,USA,4687.97,2020-02-25 00:00:00,Sports,,No
5426,64,M,U.S.A,4349.49,2024-11-02 00:00:00,,1,1
6578,47,Other,Australia,4421.64,2023-04-17 00:00:00,Electronics,1,Yes
9322,56,Male,UK,1089.54,2020-03-01 00:00:00,Clothing,5,1
2685,48,Male,Canada,333.08,2020-04-26 00:00:00,Elec,2,1
1769,36,,Canada,3015.94,2021-08-12 00:00:00,Electronics,4,Yes
7949,52,Male,India,2184.58,2020-08-23 00:00:00,Elec,3,No
3433,46,,Canada,43.11,2020-02-02 00:00:00,Sports,10,0
6311,18,M,Australia,3226.48,2024-05-09 00:00:00,Clothing,10,Yes
6051,21,M,USA,2595.73,2023-06-20 00:00:00,Home,2,0
7420,45,F,UK,4246.87,2022-02-24 00:00:00,Sports,,1
2184,35,,Canada,2850.51,2023-01-02 00:00:00,Clothing,10,1
5555,43,M,UK,2656.7,2020-01-21 00:00:00,Clothing,3,No
4385,57,,Canada,1924.13,2024-10-02 00:00:00,Beauty,,Yes
7396,36,Male,Canada,2045.33,2023-03-23 00:00:00,Home,10,Yes
9666,23,F,U.S.A,4749.1,2023-07-01 00:00:00,Clothing,5,
10274,18,Other,,261.45,2023-05-15 00:00:00,Electronics,,No
3558,25,Female,U.S.A,1954.2,2023-03-18 00:00:00,Elec,10,Yes
8849,50,Female,UK,3107.05,2022-07-06 00:00:00,,3,1
3047,60,F,India,1881.56,2024-09-14 00:00:00,Home,,No
3747,38,,UK,1057.69,2020-10-28 00:00:00,Home,,
10167,41,,India,1080.47,2020-10-23 00:00:00,,1,
10998,42,,,785.11,2024-02-23 00:00:00,Sports,,1
1189,64,Other,UK,1391.47,2022-02-11 00:00:00,Home,4,Yes
3734,60,Female,U.S.A,4294.21,2022-12-03 00:00:00,Home,2,1
4005,36,F,Australia,2278.74,2023-03-13 00:00:00,Beauty,1,
5658,46,,UK,821.31,2023-06-21 00:00:00,Home,4,No
2899,27,M,,1614.9,2021-02-22 00:00:00,Elec,10,Yes
8734,29,Male,U.S.A,82.07,2024-03-20 00:00:00,Elec,,1
2267,50,Other,UK,4472.2,2020-03-02 00:00:00,Elec,10,Yes
2528,24,,Ind,1745.09,2022-05-07 00:00:00,Clothing,1,No
4556,34,Female,Canada,4892.15,2021-06-21 00:00:00,,2,
4890,27,Male,USA,1411.46,2023-09-02 00:00:00,,5,1
9838,48,F,U.S.A,4099.96,2023-12-29 00:00:00,Electronics,3,
6393,23,,India,910.12,2021-11-26 00:00:00,,5,1
9792,34,Female,Germany,-81.16,2022-03-28 00:00:00,Elec,,Yes
9433,200,Male,Germany,-325.47,2023-11-05 00:00:00,Beauty,,0
8513,54,M,Canada,2833.93,2022-11-25 00:00:00,Beauty,10,1
3612,35,Other,Germany,1213.66,2022-07-08 00:00:00,Beauty,3,1
8041,43,F,India,1939.36,2022-09-01 00:00:00,Beauty,3,
10555,-1,Female,Ind,4002.56,2021-06-25 00:00:00,Sports,10,0
7235,33,M,USA,864.59,2024-05-23 00:00:00,,,0
6486,25,Other,UK,1197.59,2023-06-09 00:00:00,Beauty,2,0
8099,41,Other,Canada,4149.35,2024-09-07 00:00:00,Sports,2,0
10670,30,M,U.S.A,2210.19,2022-02-28 00:00:00,Sports,5,No
1775,46,Female,U.S.A,4052.16,2020-02-02 00:00:00,Home,4,Yes
9226,49,Other,USA,1559.62,2021-08-03 00:00:00,Electronics,4,1
4152,41,F,,1691.03,2020-12-17 00:00:00,Home,5,Yes
2585,33,Male,Australia,419.26,2020-09-11 00:00:00,Sports,10,Yes
4943,28,F,,4539.9,2022-12-09 00:00:00,Home,3,Yes
8555,49,,Germany,4432.31,2022-11-12 00:00:00,Clothing,10,Yes
4073,23,Other,UK,4913.19,2023-07-01 00:00:00,,2,No
2021,52,Male,Canada,1713.46,2023-11-18 00:00:00,Beauty,5,
4843,50,M,Canada,4002.38,2024-08-26 00:00:00,Beauty,4,No
8989,35,Male,Germany,1782.25,2020-09-29 00:00:00,,3,1
10692,54,Male,Ind,1998.64,2021-11-23 00:00:00,,4,0
7873,30,Male,U.S.A,4065.0,2020-09-06 00:00:00,Sports,3,
6675,27,Other,Canada,475.52,2023-06-14 00:00:00,Home,4,1
1161,54,,,711.71,2022-06-22 00:00:00,,,0
