,Customer_ID,Age,Gender,Country,Purchase_Amount,Purchase_Date,Product_Category,Satisfaction_Score,Churn
0,8270,36,Female,UK,391.68,2020-03-30,Beauty,5,0
1,1860,51,Female,Canada,134.6,2021-08-13,Clothing,5,1
2,6390,42,Female,Canada,4765.07,2020-02-24,Home,5,1
3,6191,48,Male,India,1403.43,2023-05-29,Electronics,4,0
4,6734,41,Male,UK,4274.42,2020-04-01,Home,4,1
5,7265,58,Female,Germany,4778.22,2024-05-28,Sports,1,1
6,1466,34,Female,USA,4687.97,2020-02-25,Sports,3,0
7,5426,64,Male,USA,4349.49,2024-11-02,Home,1,1
8,6578,47,Other,Australia,4421.64,2023-04-17,Electronics,1,1
9,9322,56,Male,UK,1089.54,2020-03-01,Clothing,5,1
10,2685,48,Male,Canada,333.08,2020-04-26,Electronics,2,1
11,1769,36,Male,Canada,3015.94,2021-08-12,Electronics,4,1
12,7949,52,Male,India,2184.58,2020-08-23,Electronics,3,0
13,3433,46,Male,Canada,43.11,2020-02-02,Sports,5,0
14,6311,18,Male,Australia,3226.48,2024-05-09,Clothing,5,1
15,6051,21,Male,USA,2595.73,2023-06-20,Home,2,0
16,7420,45,Female,UK,4246.87,2022-02-24,Sports,3,1
17,2184,35,Male,Canada,2850.51,2023-01-02,Clothing,5,1
18,5555,43,Male,UK,2656.7,2020-01-21,Clothing,3,0
19,4385,57,Male,Canada,1924.13,2024-10-02,Beauty,3,1
20,7396,36,Male,Canada,2045.33,2023-03-23,Home,5,1
21,9666,23,Female,USA,4749.1,2023-07-01,Clothing,5,1
22,10274,18,Other,Canada,261.45,2023-05-15,Electronics,3,0
23,3558,25,Female,USA,1954.2,2023-03-18,Electronics,5,1
24,8849,50,Female,UK,3107.05,2022-07-06,Home,3,1
25,3047,60,Female,India,1881.56,2024-09-14,Home,3,0
26,3747,38,Male,UK,1057.69,2020-10-28,Home,3,1
27,10167,41,Male,India,1080.47,2020-10-23,Home,1,1
28,10998,42,Male,Canada,785.11,2024-02-23,Sports,3,1
29,1189,64,Other,UK,1391.47,2022-02-11,Home,4,1
30,3734,60,Female,USA,4294.21,2022-12-03,Home,2,1
31,4005,36,Female,Australia,2278.74,2023-03-13,Beauty,1,1
32,5658,46,Male,UK,821.31,2023-06-21,Home,4,0
33,2899,27,Male,Canada,1614.9,2021-02-22,Electronics,5,1
34,8734,29,Male,USA,82.07,2024-03-20,Electronics,3,1
35,2267,50,Other,UK,4472.2,2020-03-02,Electronics,5,1
36,2528,24,Male,India,1745.09,2022-05-07,Clothing,1,0
37,4556,34,Female,Canada,4892.15,2021-06-21,Home,2,1
38,4890,27,Male,USA,1411.46,2023-09-02,Home,5,1
39,9838,48,Female,USA,4099.96,2023-12-29,Electronics,3,1
40,6393,23,Male,India,910.12,2021-11-26,Home,5,1
41,9792,34,Female,Germany,81.16,2022-03-28,Electronics,3,1
